ID,Question,Context_with_label,LONG_ANSWER,final_decision
65f84eadc4010b4d7800004c,Are advanced directives an expression of the patient's wishes for future care in case they become cognitively impaired or find themselves in critical condition?,"older patients with advance directives such as a living will, or durable power of attorney for healthcare, are more likely to receive care consistent with their preferences at the end of life Advance care directives are an important mechanism for documenting treatment preferences in patient care planning Advance directives documentation can increase the likelihood that patient's wishes are respected if they become incapacitated Advance directives (ADs) allow everyone to give their preferences in advance regarding life sustaining treatments, continuation, and withdrawal or withholding of treatments in case one is not able to speak their mind anymore Documenting patients' advance care planning (ACP) wishes is essential to providing value-aligned care, as is having this documentation readily accessible Advance directives (AD) imply the promise of determining future medical treatment in case of decisional incapacity advance directives and the appointment of an enduring power of attorney for people of all ages. A person's rights to self-determination in health care, including decision making about their wishes for future care in the event they lose cognitive capacity, should not be overlooked against the backdrop of increasing pressure Based on these principal views, concrete preferences on how to be treated under defined medical circumstances can be discussed and documented in an advance directive. An Advance Medical Directive (AMD) is a document in which competent patients express their wishes regarding their preferred choice of future medical plans in the event they become incompetent. Advance directives (ADs) are documents that express an individual's wishes regarding their medical care if they are incapacitated and may appoint someone to make decisions for them.",Yes. Advance care directives are important for documenting treatment preferences in patient care planning.,yes
65f779edc4010b4d78000039,Is surgical resection an appropriate treatment over immunotherapy in MSI-H locally advanced rectal cancer patients?,"Our team also proposes a new organ-preservation strategy for patients with MSI-H/dMMR low LARC patients with high microsatellite instability/deficient mismatch repair (MSI-H/dMMR) LACRC receive little benefit from neoadjuvant chemoradiotherapy (nCRT) or neoadjuvant chemotherapy (nCT) Patients with locally advanced colorectal cancer (LACRC) have a high risk of recurrence and metastasis, although neoadjuvant therapy may provide some benefit The emergence of immunotherapy has revolutionized the traditional treatment paradigm of colorectal cancer (CRC) Locally advanced rectal cancer with dMMR/MSI-H may be excused from surgery after neoadjuvant anti-PD-1 monotherapy: a multiple-center, cohort study. Preoperative PD-1 blockade immunotherapy in dMMR/MSI-H gastrointestinal malignancies can achieve a high CR, especially in patients with duodenal or low rectal cancer, and can achieve high organ function protection. Patients with locally advanced rectal cancer with MSI-H/dMMR tumors receiving neoadjuvant ICI (nICI) treatment (n=13) and matched patients receiving neoadjuvant chemoradiotherapy (nCRT; n=13) were included to compare clinical response and histopathologic features. Neoadjuvant chemoradiotherapy combined with immunotherapy for locally advanced rectal cancer: A new era for anal preservation. bility-high (MSI-H) rectal cancer, clinical complete response (cCR) could be achieved after anti-programmed cell death protein 1 (anti-PD-1) immunotherapy. However, no data are available concerning the safety of omitting surgery and adopting immunotherapy as a curative-intent treatment for these patients.METHODS: We retrospectively c Objective: Examine patients with locally advanced rectal cancer (LARC) with deficient mismatch repair (dMMR) or microsatellite instability-high (MSI-H) who received neoadjuvant immunotherapy (nIT), and compare the outcomes of those who chose a watch-and-wait (WW) approach after achieving clinical complete response (cCR) or near-cCR with those who underwent surgery and were confirmed as pathological complete response (pCR).Methods: LARC patients with dMMR/MSI-H who received nIT were retros",Immunotherapy with organ preservation are the preferred treatment over surgical resection in locally advanced rectal cancer patients with MSI-H,no
66081d61fdcbea915f000007,Is One-carbon (1C)  metabolism associated with folate?,"Folate (FA) is an essential cofactor in the one-carbon (1C) metabolic pathway and participates in amino acid metabolism, One-carbon/folate (1C) metabolism supplies methyl groups required for DNA and histone methylation, and is involved in the maintenance of self-renewal in stem cells.  The folic acid cycle mediates the transfer of one-carbon (1C) units to support nucleotide biosynthesis.  Adequate maternal dietary levels of one-carbon metabolites, such as folic acid and choline, play an important role in the closure of the neural tube in utero; however, the impact of deficiencies in one-carbon (1C) metabolism on offspring neurological function after birth remain undefined One-carbon metabolism (1C-metabolism), also called folate metabolism because the carbon group is attached to folate-derived tetrahydrofolate, One-carbon (1C) metabolism consists of an integrated series of metabolic pathways that include the folate One-carbon (1C) metabolism, mediated by the folate cofactor, supports multiple physiological processes. These include biosynthesis (purines and thymidine), One-carbon (1C) metabolism comprises a series of interlinking metabolic pathways that include the methionine and folate Mammalian folate-dependent one-carbon (1C) metabolism provides the building blocks essential during development via amino acid Folate-mediated one carbon (1C) metabolism supports a series of processes that are essential for the","One-carbon (1C) metabolism, mediated by the folate cofactor, supports multiple physiological processes. These include biosynthesis (purines and thymidine), amino acid homeostasis (glycine, serine, and methionine), epigenetic maintenance, and redox defense.",yes
65d132101930410b13000035,Is Depatuxizumab mafodotin effective for glioblastoma?,"RESULTS: The UNITE study was stopped early after interim analysis of separate phase III trial showed no difference in survival from depatuxizumab mafodotin.  Interim analysis demonstrated no OS benefit for depatux-m in treating EGFR-amp newly diagnosed GBM.  However, depatuxizumab mafodotin, an ADC targeting wild-type EGFR and EGFR variant III, did not provide a definitive overall survival benefit in patients with newly diagnosed or recurrent EGFR-amplified glioblastoma in phase II and III trials, despite objective radiological responses in some patients. BACKGROUND: Antibody drug conjugates (ADCs) targeting the epidermal growth factor receptor (EGFR), such as depatuxizumab mafodotin (Depatux-M), is a promising therapeutic strategy for glioblastoma (GBM) but recent clinical trials did not demonstrate a survival benefit.   Despite profound intrinsic sensitivity to Depatux-M, limited drug delivery into brain tumor may have been a key contributor to lack of efficacy in recently failed clinical trials.  Depatux-M had no impact on HRQoL and NDFS in patients with EGFR-amplified recurrent glioblastoma, except for more visual disorders, an expected side-effect of the study drug.  The study reported the first ""real world"" experience of Depatux-M plus temozolomide in recurrent glioblastoma patients. Encouraging clinical benefits were demonstrated, even though most patients were treated beyond second-line therapy. Overall, the results are close to those reported in the previous phase 2 trial. Toxicity was moderate and manageable.",No. Depatuxizumab mafodotin does improve survival of glioblastoma patients.,no
66099af7fdcbea915f000020,Is the use of Bevacizumab indicated after progression to a previous regimen with Bevacizumab in advanced colorectal cancer patients?,"These results from a large, prospective, observational study suggest that continued vascular endothelial growth factor inhibition with bevacizumab beyond initial PD could play an important role improving the overall success of therapy for patients who have mCRC distant metastasis) stages. In this study, 43 CRC tissues collected from patients who underwent treatment with first-line standard chemotherapeutic regimens in combination with bevacizumab were used to explore the correlation between FOXF1 expression and resistance to bevacizumab. In patients who have progressed on a bevacizumab-containing regimen, continuation of bevacizumab is significantly associated with an improved survival based on observational cohort studies. Benefit of adding bevacizumab to second-line regimen after failing a bevacizumab-containing regimen, or aflibercept plus FOLFIRI) (irinotecan, 5-FU and leucovorin) after failing first-line oxaliplatin regimen with or without bevacizumab or regorafenib as a salvage therapy, do indicate the addiction to anti-vascular endothelial growth factor (VEGF) agents in these patients. Treatment-related deaths were reported for four patients in the bevacizumab plus chemotherapy group and three in the chemotherapy alone group.INTERPRETATION: Maintenance of VEGF inhibition with bevacizumab plus standard second-line chemotherapy beyond disease progression has clinical benefits in patients with metastatic colorectal cancer. We assessed continued use of bevacizumab plus standard second-line chemotherapy in patients with metastatic colorectal cancer progressing after standard first-line bevacizumab-based treatment.METHODS: In an open-label, phase 3 study in 220 centres in Austria, Belgium, Czech Republic, Denmark, Estonia, Finland, France, Germany, the Netherlands, Norway, Portugal, Saudi Arabia, Spain, Sweden, and Switzerland, patients (aged ≥18 years) with unresectable, histologically confirmed metastatic colorectal cancer progressing up to 3 months after discontinuing first-line bevacizumab plus chemotherapy were randomly assigned in a 1:1 ratio to second-line chemotherapy with or without bevacizumab 2·5 mg/kg per week equivalent (either 5 mg/kg every 2 weeks or 7·5 mg/kg every 3 weeks, intravenously). Bevacizumab, an anti-vascular endothelial growth factor agent, has efficacy in both the first-line setting and beyond progression in metastatic colorectal cancer. OUND/AIMS: There is little information in the literature on the use of bevacizumab (BV) combination chemotherapy in multiple lines w  cancer. Continuation of bevacizumab beyond progression is an accepted standard of care based on a 1.4-month increase in median overall survival observed in a randomiz  consistent with previously reported data. This study demonstrates that the continuation or the reintroduction of bevacizumab with second-line chemotherapy beyond first progression improves the outcome and supp","These results from a large, prospective, observational study suggest that continued vascular endothelial growth factor inhibition with bevacizumab beyond initial PD could play an important role improving the overall success of therapy for patients who have metastastic colorectal cancer",yes
6609827afdcbea915f000011,Is Tako-Tsubo syndrome is an irreversible form of an acute stress-related cardiomyopathy?,"Takotsubo cardiomyopathy (TC) is a recognized clinical syndrome characterized by reversible cardiomyopathy with a distinctive left ventricular apical ballooning appearance Tako-Tsubo cardiomyopathy (TTC) is a reversible cardiomyopathy characterized by acute left ventricular segmental dysfunction, whose clinical presentation resembles that of acute myocardial infarction. Takotsubo Cardiomyopathy (TTC) is an uncommon cause of acute reversible ventricular systolic dysfunction in the absence of obstructive Coronary Artery Disease (CAD).  Tako-Tsubo syndrome is a reversible form of an acute stress-related cardiomyopathy that was reported GROUND: The Tako-Tsubo Syndrome is a clinical entity characterized by acute but rapidly reversible left ventricular systolic dysfunction and triggered by emotional or psychological stress. The aim  The etiology of a novel cardiac syndrome called ""tako-tsubo"" cardiomyopathy, otherwise known as ""acute onset and reversible BACKGROUND: The etiology of tako-tsubo cardiomyopathy, defined as a transient left ventricular dysfunction in The Tako-Tsubo syndrome is a reversible form of an acute stress-related cardiomyopathy that was reported during the last decade. Tako-tsubo cardiomyopathy (transient left ventricular apical ballooning) is a reversible form of cardiomyopathy of unknown etiology. Tako-tsubo syndrome (TTS) or stress-related acute reversible ventricular apical dysfunction is an emerging but seemingly under-recognised cardiomyopathy mimicking acute ST elevation myocardial infarction (STEMI) without concomitant epicardial coronary artery disease.",Tako-Tsubo syndrome is an reversible form of an acute stress-related cardiomyopathy,no
65cfcc8f1930410b13000018,Is UGT1A1 implicated in Crigler–Najjar syndrome?,"Crigler-Najjar syndrome is a rare disorder of bilirubin metabolism caused by uridine diphosphate glucuronosyl transferase 1A1 (UGT1A1) mutations characterized by hyperbilirubinemia and jaundice.   The compound heterozygous pathogenic mutations (c.-3279T > G, c.211G > A, and c.1456T > G) at three loci of the UGT1A1 gene may be the feature of the newly discovered CNS-II family genes based on the CNS-II family study. Crigler-Najjar syndrome (CNS) type I is a rare genetic disease caused by mutations in the UGT1A1 gene, resulting in a lack of Uridine 5'-diphospho-glucuronosyltransferase (UDPGT) enzyme.  BACKGROUND: Patients with the Crigler-Najjar syndrome lack the enzyme uridine diphosphoglucuronate glucuronosyltransferase 1A1 (UGT1A1), the absence of which leads to severe unconjugated hyperbilirubinemia that can cause irreversible neurologic injury and death.  A defect in the UGT1A1 enzyme-encoding gene, which is directly responsible for bilirubin conjugation, can cause Crigler-Najjar syndrome (CNS) and Gilbert's syndrome.  A defect in the UGT1A1 enzyme-encoding gene, which is directly responsible for bilirubin conjugation, can cause Crigler-Najjar syndrome (CNS) and Gilbert's syndrome Crigler-Najjar syndrome (CNS) type I is a rare genetic disease caused by mutations in the UGT1A1 gene, resulting in a lack of Uridine 5'-diphospho-glucuronosyltransferase (UDPGT) enzyme Patients with the Crigler-Najjar syndrome lack the enzyme uridine diphosphoglucuronate glucuronosyltransferase 1A1 (UGT1A1), the absence of which leads to severe unconjugated hyperbilirubinemia that can cause irreversible neurologic injury and death Crigler-Najjar syndrome (CNS) in relation to uridine diphosphate glucuronosyltransferase A1 (UGT1A1) Crigler-Najjar syndrome is another rare disorder of bilirubin metabolism caused by mutation in the gene coding the enzyme UGT1A1. We report a",Yes. Crigler-Najjar syndrome is a rare disorder of bilirubin metabolism caused by uridine diphosphate glucuronosyl transferase 1A1 (UGT1A1) mutations characterized by hyperbilirubinemia and jaundice.,yes
65f77596c4010b4d7800002c,Should PDYD polymorphism determination be routinely performed in patients with colorectal cancer patients?,"Host genetic variants in the rate limiting enzyme dihydropyrimidine dehydrogenase (DPYD) gene are related to the occurrence of extremely severe, early onset toxicity in FP treated patients.  Prospective DPYD genotyping was feasible in routine clinical practice, and DPYD genotype-based dose reductions improved patient safety of fluoropyrimidine treatment. Colorectal cancer (CCR), which is one of the most common causes of cancer, has benefited from the major advances in the understanding of the intracellular signaling pathways implicated in the initiation, growing and local and metastasis dissemination of tumor, which have occurred during the 20 past years. The pharmacogenomics approach, especially the determination of the genetic polymorphisms, tries to find prognosis and predictive biomarkers permitting to identify patients who could benefit from a particular treatment or those exhibiting higher risks of toxicity. Among the numerous biomarkers, which have been studied, few are currently in use in clinical practice. The phenotyping of DPD and UGT1A1 activities, and to a lesser extent, its genotyping, appears as the most useful tool in terms of prediction of toxicities induced by two major drugs: 5-FU and irinotecan. For oxaliplatin, the determination of the polymorphisms of reparases and detoxification systems such as GSTpi seems interesting, but its forms the basis for the chemotherapy of advanced colorectal cancer and of other solid tumours. About 9% of patients suffer from serious, sometimes even life-threatening adverse effects of a 5-FU therapy, such as haemotoxicity, which cannot be reliably predicted by conventional clinical and pharmacokinetic criteria. The systemic exposure to 5-FU is fundamentally determined by the genetically polymorphic enzyme dihydropyrimidine dehydrogenase (DPD). This deficiency is closely related to 5-FU-induced toxicity and a variety of non-synonymous variants has been detected in affected patients. The exon14-skipping mutation is the gene defect most frequently associated with serious 5-FU-related adverse effects and it has been reported ten times more often in affected individuals than in the general population. The 2846A>T polymorphism, which leads to an amino acid substitution, appears to be of comparable importance. While the causative role of premature stop codons - presumably resulting from spontaneous mutations - is very likely, the pathophysiological relevance of various other amino acid changes is still unclear. Patients who harbour a high-risk genotype should not be treated with 5-FU if therapeutic alternatives are available. The present data indicate that complete genotyping of the encoding DPYD gene is desirable, in the interest of drug safety, before treatment is started, although only a small number of patients would actually benefit. A method for the quantification of the DPD activity in vivo would have the advantage of reflecting all genetic and non-genetic influences.' However, no such method is currently available for routine use. Prospective genotyping AIMS: Cancer patients with reduced dihydropyrimidine dehydrogenase (DPD) activity are at increased risk of severe fluoropyrimidine (FP)-related adverse events (AE). For each of the tested polymorphisms, variant allele carriers were matched to respective wild type controls (optimal full matching combined with exact matching, in respect to: age, sex, type of cancer, type of FP, DPYD activity score, use of irinotecan/UGT1A1, adjuvant therapy, radiotherapy, biological therapy and genotype on the remaining two tested polymorphisms).RESULTS: Of the 503 included patients (82.3% colorectal cancer), 283 (56.3%) developed grade ≥3 AEs, mostly diarrhoea and neutropenia. We evaluated the relationship between three further DPYD polymorphisms: c.496A>G (rs2297595), *6 c.2194G>A (rs1801160) and *9A c.85T>C (rs1801265) and the risk of severe AEs.METHODS: Consecutive FP-treated adult patients were genotyped for ""standard"" and tested DPYD variants, and for UGT1A1*28 if irinotecan was included, and were monitored for the occurrence of grade ≥3 (National Cancer Institute Common Terminology Criteria) vs. grade 0-2 AEs. The present data indicate that complete genotyping of the encoding DPYD gene is desirable, in the interest of drug safety, before treatment is started, although only a small number of patients would actually benefit. The studies we reviewed indicate that pharmacogenetic testing is promising to direct personalised dosing of fluoropyrimidines, although further investigations are needed to establish the role of DPD in severe toxicity in patients treated for colorectal cancer. Guidelines recommend FP dosing adjusted to genotype-predicted DPD activity based on four DPYD variants (rs3918290, rs55886062, rs67376798 and rs56038477).","Prospective DPYD genotyping was feasible in routine clinical practice, and DPYD genotype-based dose reductions improved patient safety of fluoropyrimidine treatment.",yes
65d372231930410b13000047,Does Lenvatinib plus pembrolizumab improve prognosis of advanced hepatocellular carcinoma?,"INTERPRETATION: In earlier studies, the addition of pembrolizumab to lenvatinib as first-line therapy for advanced hepatocellular carcinoma has shown promising clinical activity; however, lenvatinib plus pembrolizumab did not meet prespecified significance for improved overall survival and progression-free survival versus lenvatinib plus placebo. Our findings do not support a change in clinical practice.",No. Lenvatinib plus pembrolizumab did not improve overall survival and progression-free survival versus lenvatinib plus placebo of advanced hepatocellular carcinoma patients.,no
65f778dbc4010b4d78000035,Is watch-and-wait policy after neoadjuvant therapy a cost-effective policy for locally advanced rectal cancer patients?,"Using current multi-institutional recurrence estimates, we observed comparable cancer-specific survival, superior quality-adjusted survival, and decreased costs with WW compared with upfront TME. Upfront TME was preferred when surgical salvage rates were low. This study provides data of cost-effectiveness differences among Standard Surgery, Watch-and-Wait and Robotic Resection approaches in clinical complete response in locally advanced rectal cancer patients after neoadjuvant chemoradiotherapy, showing a benefit for Watch-and-Wait policy. Cost Effectiveness of Watch and Wait Versus Resection in Rectal Cancer Patients with Complete Clinical Response to Neoadjuvant Chemoradiation. this study was to evaluate the oncological and survival outcomes of a Watch and Wait policy in rectal cancer after a clinical complete response (cCR) following  herapy with neoadjuvant chemoradiation (nCRT), surgery, and adjuvant chemotherapy is the standard treatment for locally advanced rectal cancer. There is evidence that surgery can be deferred in patients with complete response (CR) to nCRT, a strategy termed ""watch-and-wait"" (WW). We compare WW to surgery in patients with CR to nCRT. WW is only more effective than SR 55% of the time which implies a significant uncertainty due to the high utility value assigned to cCR after chemoradiotherapy in the RRR alternative. This study provides data of cost-effectiveness differences among Standard Surgery, Watch-and-Wait and Robotic Resection approaches in clinical complete response in locally advanced rectal cancer patients after neoadjuvant chemoradiotherapy, showing a benefit for Watch-and-Wait policy. A willingness-to-pay of per one additional QALY gained was measured to determine which strategies would be most cost-effective.RESULTS: WW is a dominating option over SR ( -75,486. The cost-effectiveness analysis was slightly better for the WW group, especially for low rectal cancer compared to medium-high rectal cancer (ICER =  - 108,642.1 vs ICER =  - 42,423). The WW strategy in locally advanced rectal cancer offers similar oncological outcomes with respect to the surgical group and excellent results in quality of life and cost outcomes, especially for low rectal cancer. BACKGROUND: The watch-and-wait (WW) strategy is a potential option for patients with rectal cancer who obtain a complete clinic response after neoadjuvant therapy. We use computational techniques to compare these clinical approaches using quality adjusted life years (QALYs).METHODS: A Markov decision analytic model was used in order to perform a cost-utility analysis, comparing standard resection (SR), Robotic Rectal Resection (RRR) and Watch-and-Wait (WW) strategies, estimating the incremental cost-effectiveness ratio per QALY to be gained from patients reaching a clinical complete response to chemoradiotherapy.","Using current multi-institutional recurrence estimates, we observed comparable cancer-specific survival, superior quality-adjusted survival, and decreased costs with Watch and Wait compared with upfront Total Mesorectal Excision.",yes
66088ddbfdcbea915f00000d,Are senolytics used to treat cardiovascular disease?,"Therapeutic opportunities for senolysis in cardiovascular disease. These findings coupled with the emergence of senolytic therapies, to target and eliminate senescent cells, have provided fascinating new avenues for management of several age-related cardiovascular diseases with high prevalence.  Quercetin and dasatinib, two powerful senolytics in age-related cardiovascular disease. In recent years, the use and study of senolytics increased, representing a promising field for finding accessible and safe therapies for cardiovascular disease (CVD) treatment. T Therapeutic Potential of Senolytics in Cardiovascular Disease Senescence and senolytics in cardiovascular disease: Promise and potential pitfalls. senolytic treatment is unknown. To determine whether long-term senolytic treatment improves vasomotor function, vascular stiffness, and intimal plaque size and composition in aged or hypercholesterolemic In recent years, therapies targeting senescent cells (senotherapies), particularly senolytics that selectively eliminate senescent cells, have been developed and show promise for treating geriatric syndromes and age-associated diseases, including CVDs. Based on these data we suggest novel indications for senolytics as a treatment of cardiovascular diseases which have yet to be studied in the context of senotherapy. In preclinical CVD models, senolytics appear to improve heart failure, ischemic heart disease, valvular heart disease, atherosclerosis, aortic aneurysm, vascular dysfunction, dialysis arteriovenous fistula patency, and pre-eclampsia.","Yes, senolytics have therapeutic potential in cardiovascular disease.",yes
65cfcf201930410b1300001b,Can Nitrofurantoin cause Lung Injury?,"Nitrofurantoin-Induced Lung Injury: A Reminder of an Overlooked Threat. Although relatively rare, nitrofurantoin can cause a spectrum of lung injuries, from acute hypersensitivity reactions that might be fatal to chronic reactions involving fibrosis.   NF can cause marked or irreversible lung complications and there is currently a shortfall in awareness and monitoring.  Reversible lung fibrosis in a 6-year-old girl after long term nitrofurantoin treatment. BACKGROUND: Pulmonary side effects are well known, including lung fibrosis, in elderly patients treated with long-term nitrofurantoin to prevent urinary tract infections and secondary renal injury. A rare case of nitrofurantoin-induced acute lung injury. Acute lung injury resulting from nitrofurantoin is a rare, life-threatening complication with women being at greater risk. Long-term nitrofurantoin: an analysis of complication awareness, monitoring, and pulmonary injury cases. Pulmonary side effects are well known, including lung fibrosis, in elderly patients treated with long-term nitrofurantoin to prevent urinary tract infections and secondary renal injury Consider Nitrofurantoin as a Cause of Lung Injury.","Yes. Nitrofurantoin can cause a spectrum of lung injuries, from acute hypersensitivity reactions that might be fatal to chronic reactions involving fibrosis.",yes
65d12c451930410b13000032,Is Omaveloxolone effective for Friedreich Ataxia?,"INTERPRETATION: In the MOXIe trial, omaveloxolone significantly improved neurological function compared to placebo and was generally safe and well tolerated. It represents a potential therapeutic agent in FA.  Omaveloxolone: potential new agent for Friedreich ataxia. In this work, we review the evidence for use of omaveloxolone in FRDA from recent clinical trials. Though not at present approved for any indication, the present data suggest that this agent acting though increases in Nrf2 activity may provide a novel therapy for FRDA. Omaveloxolone has been recently approved as the first pharmacological treatment for FRDA in adults and adolescents aged 16 years and older.  INTERPRETATION: These results suggest a meaningful slowing of Friedreich ataxia progression with omaveloxolone, and consequently detail how propensity-matched analysis may contribute to understanding of effects of therapeutic agents.  Omaveloxolone (SKYCLARYS™) is an orally active, small molecule semi-synthetic triterpenoid drug that increases antioxidant activity, which is being developed by Reata Pharmaceuticals, Inc. for the treatment of Friedreich's ataxia. Omaveloxolone was approved in February 2023 in the USA for the treatment of Friedreich's ataxia.  A Milestone in the Treatment of Ataxias: Approval of Omaveloxolone for Friedreich Ataxia. The exciting news about the US FDA approval of omaveloxolone as the first-ever drug to be approved for an inherited ataxia is welcome news for patients and families that deal with this devastating disease as well as for health care providers and investigators with an interest in this and other rare diseases.  Currently, the FDA has approved the Nrf2 activators dimethyl fumarate (DMF) and Omaveloxolone (Omav) as novel first-line oral drugs for the treatment of patients with relapsing forms of multiple sclerosis and Friedreich's ataxia",Yes. Omaveloxolone is effective and approved for Friedreich Ataxia.,yes
65d3715b1930410b13000046,Is Durvalumab effective for locally advanced cervical cancer?,"INTERPRETATION: Durvalumab concurrent with chemoradiotherapy was well tolerated in participants with locally advanced cervical cancer, however it did not significantly improve progression-free survival in a biomarker unselected, all-comers population. RETATION: Durvalumab concurrent with chemoradiotherapy was well tolerated in participants with locally advanced cervical cancer, however it did not significantly improve progression-free survival in a biomarker unselected, all-comers population. Conc","Durvalumab concurrent with chemoradiotherapy was well tolerated in participants with locally advanced cervical cancer, however it did not significantly improve progression-free survival in a biomarker unselected, all-comers population.",no
661a6733fdcbea915f00005c,Is Loeys-Dietz syndrome (LDS) associated with Aortic Aneurysm?,"Loeys-Dietz syndrome (LDS) is an autosomal connective tissue disorder commonly presenting with hypertelorism, bifid uvula, aortic aneurysms, and arterial tortuosity. Hereditary thoracic aortic diseases (HTAD) such as Marfan syndrome (MFS), Loeys-Dietz syndrome (LDS), and vascular Ehlers-Danlos syndrome (VEDS) frequently result in complex cardiovascular pathology that can lead to premature death Loeys-Dietz syndrome (LDS) is an inherited connective tissue disorder associated with aortic root enlargement and risk of thoracic aortic dissection (AD). Loeys-Dietz syndrome (LDS) is a heritable aortopathy associated with craniofacial abnormalities and dilatation and dissection of the aorta and its branches, as well as increased risk for intracranial aneurysms (ICAs) Loeys-Dietz syndrome (LDS) is an autosomal connective tissue disorder commonly presenting with hypertelorism, bifid uvula, aortic aneurysms, and arterial tortuosity Loeys-Dietz syndrome (LDS) is less commonly seen as a cause of ascending aortic aneurysms in children Loeys-Dietz syndrome (LDS) is a recently reported autosomal dominant aortic aneurysm syndrome with widespread systemic involvement. Loeys-Dietz syndrome (LDS) is a recently reported autosomal dominant aortic aneurysm syndrome with widespread systemic involvement. Although connective tissue diseases carry a theoretical risk of aneurysmal degeneration in vein grafts, there are no reports of vein graft aneurysm (VGA) in patients with connective tissue disease. BACKGROUND: Loeys-Dietz syndrome (LDS) is a recently recognized aggressive aortic disorder characterized by root aneurysm, arterial tortuosity, hypertelorism, and bifid uvula or cleft palate Loeys-Dietz syndrome (LDS) is less commonly seen as a cause of ascending aortic aneurysms in children.","Loeys-Dietz syndrome (LDS) is an autosomal connective tissue disorder commonly presenting with hypertelorism, bifid uvula, aortic aneurysms, and arterial tortuosity.",yes
660810a0fdcbea915f000005,"Is MIRPE, also known as the Nuss procedure, considered to be an very invasive form of surgical treatment?","We aimed to determine the longitudinal changes in pulmonary functions of adolescents with Pectus Excavatum who underwent the Nuss procedure, the minimally invasive repair of pectus excavatum (MIRPE). The minimally invasive repair of pectus excavatum (MIRPE), or Nuss procedure, is regarded as the gold standard technique for the treatment of symptomatic pectus excavatum Surgical correction of pectus excavatum by Nuss procedure, commonly referred to as minimally invasive repair of pectus excavatum (MIRPE), often results in significant postoperative pain.  The minimally invasive repair of pectus excavatum (MIRPE), or Nuss procedure, is regarded as the gold standard technique for the treatment of symptomatic pectus excavatum. The minimally invasive repair of pectus excavatum (MIRPE), or Nuss procedure, is regarded as the gold standard technique for the treatment of symptomatic pectus excavatum. Minimally invasive repair of pectus excavatum is regarded as a low-risk operation with a reported life-threatening complication rate estimated at around 0.1%. Presented are three cases of right internal mammary artery injury (RIMA) after MIRPE resulting in massive hemorrhage in both the acute and chronic postoperative setting and subsequent management strategies. The minimally invasive repair of pectus excavatum (MIRPE), or Nuss procedure, is regarded as the gold standard technique for the treatment of symptomatic pectus excavatum. Minimally invasive repair of pectus excavatum is regarded as a low-risk operation with a reported life-threatening complication rate estimated at around 0.1%. INTRODUCTION: Surgical correction of pectus excavatum by Nuss procedure, commonly referred to as minimally invasive repair of pectus excavatum (MIRPE), often results in significant postoperative pain INTRODUCTION: Surgical correction of pectus excavatum by Nuss procedure, commonly referred to as minimally invasive repair of pectus excavatum (MIRPE), often results in significant postoperative pain. This study investigated whether adding intraoperative methadone would reduce the postoperative opioid requirement during admission for patients undergoing MIRPE INTRODUCTION: Surgical correction of pectus excavatum by Nuss procedure, commonly referred to as minimally invasive repair of pectus excavatum (MIRPE), often results in significant postoperative pain. This study investigated whether adding intraoperative methadone would reduce the postoperative opioid requirement during admission for patients undergoing MIRPE.METHODS: A retrospective cohort chart review was conducted for 40 MIRPE patients between 2018 and 2020 The Nuss technique includes using temporary metallic bars without costochondral resection to correct the chest wall deformity. Modified MIRPE can be learned easily and performed safely with few complications. There are no reports of successful MIRPE in Iran, although the Ravitch technique is well known.","The Nuss procedure , also called MIRPE OR Minimally Invasive Pectus Excavatum Repair is a minimally invasive surgical technique for repair of pectus excavatum.",no
6616a250fdcbea915f000059,Do PPIs increase the risk of gastric cancer?,users of proton pump inhibitors (PPIs) are at an increased risk of gastric cancer  the use of PPIs is associated with an increased risk of gastric cancer Higher GC rate was associated with omeprazole chronic use GC in elderly community-dwelling omeprazole chronic users ,Proton pump inhibitors have been associated with a higher risk of gastric cancer.,yes
661c414d48a2c27714000007,Can enhancers act as promoters?,"Gene expression is regulated by promoters, which initiate transcription, and enhancers, which control their temporal and spatial activity. However, the discovery that mammalian enhancers also initiate transcription questions the inherent differences between enhancers and promoters. Although diverse methodologies have been developed to identify enhancers and promoters, most have tacitly assumed that these elements are distinct. However, studies have unexpectedly shown that regulatory elements may have both enhancer and promoter functions.  define regulatory elements by accessible DNA and their non-mutually-exclusive abilities to drive transcription initiation (promoter activity) and/or to enhance transcription at other such regions (enhancer activity) Some enhancers (mainly bidirectional) can act as weak promoters, producing overlapping spatio-temporal expression. Conversely, bidirectional promoters often act as strong enhancers, while unidirectional promoters generally cannot. The balance between enhancer and promoter activity is generally reflected in the levels and directionality of eRNA transcription and is likely an inherent sequence property of the elements themselves. Intragenic enhancers act as alternative promoters. These data demonstrate functional relatedness between the promoter and enhancers, supporting the hypothesis that enhancers could have evolved from duplicated promoter domains that bind essential transcription factors. Some enhancers (mainly bidirectional) can act as weak promoters, producing overlapping spatio-temporal expression. Conversely, bidirectional promoters often act as strong enhancers, while unidirectional promoters generally cannot. However, recent studies have revealed broad similarities between enhancers and promoters, blurring the distinction: active enhancers often initiate transcription, and some gene promoters have the potential to enhance transcriptional output of other promoters.","It is generally assumed that there is a clear distinction between promoters, which initiate transcription, and enhancers, which control the spatiotemporal expression. However, studies have unexpectedly shown that regulatory elements can have both enhancer and promoter functions.
For example, some enhancers (mainly bidirectional) can act as weak promoters, producing overlapping spatiotemporal expression. Conversely, bidirectional promoters often act as strong enhancers, while unidirectional promoters generally cannot.",yes
